"season","pageIDs201415","teamName","teamShortName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint"
"2014 / 2015",64547,"Sydney Uni","Sydney Uni","Home","Bendigo","74",85,-11,"27","66","40.9","6","18","33.3","14","20","70","23","10","33","15","15","11","1","2","20","18","16","7","0","10","22"
"2014 / 2015",64547,"Bendigo","Bendigo","Away","Sydney Uni","85",74,11,"30","62","48.4","5","15","33.3","20","23","87","26","6","32","16","18","5","2","1","18","20","13","4","0","3","36"
"2014 / 2015",64548,"Dandenong","Dandenong","Home","West Coast","97",80,17,"38","71","53.5","10","16","62.5","11","16","68.8","20","8","28","21","13","8","3","1","15","13","24","8","6","19","40"
"2014 / 2015",64548,"West Coast","West Coast","Away","Dandenong","80",97,-17,"32","64","50","10","22","45.5","6","10","60","22","12","34","15","22","3","1","2","13","15","18","7","6","34","32"
"2014 / 2015",64549,"Melbourne","Boomers","Home","West Coast","87",84,3,"31","73","42.5","5","17","29.4","20","27","74.1","29","14","43","15","10","4","3","1","26","23","6","14","2","17","38"
"2014 / 2015",64549,"West Coast","West Coast","Away","Melbourne","84",87,-3,"27","72","37.5","7","19","36.8","23","27","85.2","28","13","41","8","12","1","1","3","23","26","9","9","0","33","26"
"2014 / 2015",64550,"Bendigo","Bendigo","Home","Adelaide","81",55,26,"29","60","48.3","7","14","50","16","18","88.9","25","9","34","19","15","8","3","3","17","19","16","11","6","26","32"
"2014 / 2015",64550,"Adelaide","Adelaide","Away","Bendigo","55",81,-26,"19","59","32.2","4","25","16","13","14","92.9","19","10","29","14","16","8","3","3","19","17","4","6","0","11","18"
"2014 / 2015",64551,"UC Capitals","UC Capitals","Home","Melbourne","59",74,-15,"22","72","30.6","3","13","23.1","12","16","75","26","14","40","13","15","6","3","3","26","17","6","9","2","10","30"
"2014 / 2015",64551,"Melbourne","Boomers","Away","UC Capitals","74",59,15,"28","60","46.7","1","5","20","17","27","63","30","7","37","16","11","5","3","3","17","26","12","2","2","21","38"
"2014 / 2015",64552,"Townsville","Fire","Home","Dandenong","91",57,34,"36","70","51.4","5","17","29.4","14","20","70","41","8","49","26","15","7","0","1","13","21","20","4","0","27","42"
"2014 / 2015",64552,"Dandenong","Rangers","Away","Townsville","57",91,-34,"23","79","29.1","2","13","15.4","9","10","90","24","13","37","11","15","7","1","0","20","13","7","9","0","5","28"
"2014 / 2015",64553,"Adelaide","Adelaide","Home","Melbourne","59",73,-14,"24","58","41.4","5","20","25","6","12","50","23","7","30","18","11","3","2","4","21","13","6","7","0","19","32"
"2014 / 2015",64553,"Melbourne","Boomers","Away","Adelaide","73",59,14,"26","59","44.1","6","14","42.9","15","19","78.9","26","10","36","12","12","4","4","2","13","21","13","6","2","16","32"
"2014 / 2015",64554,"UC Capitals","UC Capitals","Home","Townsville","81",92,-11,"28","68","41.2","5","13","38.5","20","21","95.2","22","10","32","16","13","7","1","4","19","21","11","9","0","16","38"
"2014 / 2015",64554,"Townsville","Townsville","Away","UC Capitals","92",81,11,"38","79","48.1","4","14","28.6","12","16","75","26","14","40","15","12","6","4","0","21","19","15","14","4","20","62"
"2014 / 2015",64555,"West Coast","West Coast","Home","Dandenong","77",86,-9,"29","67","43.3","9","24","37.5","10","13","76.9","14","17","31","19","17","3","0","4","14","21","24","19","0","32","20"
"2014 / 2015",64555,"Dandenong","Dandenong","Away","West Coast","86",77,9,"35","61","57.4","9","16","56.3","7","7","100","20","8","28","17","15","2","4","0","22","13","16","9","0","8","30"
"2014 / 2015",64556,"Sydney Uni","Sydney Uni","Home","Townsville","86",93,-7,"31","69","44.9","9","19","47.4","15","17","88.2","18","10","28","13","13","10","2","8","17","16","15","14","0","32","30"
