"gameIDs201415","pageIDs201415"
"20141017-1930_MELvsCAN","64511"
"20141018-1500_DANvsMEL","64512"
"20141018-1900_CANvsSYD","64513"
"20141018-1830_WCWvsADL","64514"
"20141018-1900_TSVvsBEN","64515"
"20141023-1700_ADLvsDAN","64516"
"20141025-1500_BENvsCAN","64517"
"20141025-1830_DANvsSYD","64518"
"20141026-1300_MELvsBEN","64519"
"20141030-1930_BENvsDAN","64521"
"20141031-1900_TSVvsADL","64522"
"20141101-1500_CANvsDAN","64523"
"20141101-1830_WCWvsMEL","64524"
"20141105-1900_SYDvsCAN","64526"
"20141107-1930_WCWvsBEN","64527"
"20141108-1500_DANvsTSV","64528"
"20141109-1300_CANvsWCW","64529"
"20141109-1400_ADLvsBEN","64530"
"20141109-1300_MELvsDAN","64531"
"20141114-1900_SYDvsMEL","64532"
"20141114-1200_WCWvsCAN","64533"
"20141115-1700_ADLvsSYD","64534"
"20141115-1900_TSVvsMEL","64535"
"20141116-1400_DANvsBEN","64536"
"20141121-1700_ADLvsTSV","64537"
"20141122-1500_MELvsADL","64538"
"20141122-1830_DANvsCAN","64539"
"20141122-1930_WCWvsSYD","64540"
"20141128-1900_SYDvsADL","64542"
"20141129-1500_BENvsMEL","64543"
"20141129-1900_CANvsADL","64544"
"20141129-1900_TSVvsWCW","64545"
"20141130-1300_MELvsSYD","64546"
"20141205-1900_SYDvsBEN","64547"
"20141205-1930_DANvsWCW","64548"
"20141206-1500_MELvsWCW","64549"
"20141206-1930_BENvsADL","64550"
"20141207-1300_CANvsMEL","64551"
"20141207-1300_TSVvsDAN","64552"
"20141212-1700_ADLvsMEL","64553"
"20141214-1500_CANvsTSV","64554"
"20141212-1930_WCWvsDAN","64555"
"20141213-1300_SYDvsTSV","64556"
"20141213-1930_MELvsBEN","64557"
"20141219-1700_ADLvsCAN","64558"
"20141219-1930_BENvsSYD","64559"
"20141220-1500_DANvsSYD","64560"
"20141220-1830_WCWvsCAN","64561"
"20141220-1900_TSVvsMEL","64562"
"20150102-1900_TSVvsCAN","64563"
"20150103-1500_BENvsWCW","64564"
"20150103-1500_SYDvsDAN","64565"
"20150104-1100_ADLvsWCW","64566"
"20150104-1300_CANvsDAN","64567"
"20150109-1900_CANvsWCW","64568"
"20150110-1500_MELvsADL","64569"
"20150110-1900_SYDvsWCW","64570"
"20150110-1900_TSVvsDAN","64571"
"20150111-1400_BENvsADL","64572"
"20150115-1900_CANvsSYD","64573"
"20150116-1930_ADLvsTSV","64574"
"20150116-1930_DANvsBEN","64575"
"20150117-1500_SYDvsMEL","64576"
"20150118-1500_WCWvsTSV","64577"
"20150123-1930_BENvsCAN","64578"
"20150123-1930_DANvsADL","64579"
"20150124-1500_MELvsCAN","64580"
"20150125-1300_TSVvsSYD","64581"
"20150125-1300_WCWvsBEN","64582"
"20150130-1900_CANvsADL","64583"
"20150131-1500_DANvsWCW","64584"
"20150131-1900_SYDvsBEN","64585"
"20150131-1930_MELvsTSV","64586"
"20150201-1100_ADLvsWCW","64587"
"20150201-1800_BENvsTSV","64588"
"20150206-1700_ADLvsSYD","64589"
"20150206-1900_TSVvsCAN","64590"
"20150207-1500_MELvsDAN","64591"
"20150207-1830_WCWvsSYD","64592"
"20150208-1400_BENvsMEL","64593"
"20150213-1740_CANvsBEN","64594"
"20150213-1930_ADLvsDAN","64595"
"20150214-1830_WCWvsMEL","64596"
"20150214-1900_SYDvsTSV","64597"
"20150215-1700_DANvsTSV","64598"
