"season","round","date","time","gameIDs201516","teamName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","teamResult","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint","possess","offRtg","defRtg","pointsMarginRtg","offDefRatio","trueShootingRtg","eFGpct","turnoverRate","freeThrowRate","offReboundRate","oppPossess","oppOffRtg","oppDefRtg","oppPointsMarginRtg","oppOffDefRatio","oppTrueShootingRtg","oppeFGpct","oppTurnoverRate","oppFreeThrowRate","oppOffReboundRate"
"2015 / 2016","11",2015-12-18,"1930","20151218-1930_DANvsMEL","Dandenong","Home","Melbourne",76,70,6,"Win",30,64,46.9,2,8,25,14,17,82.4,21,11,32,7,12,4,2,1,11,19,12,14,3,7,36,72,105.6,97.2,8.39999999999999,1.09,52.7,48.4,16.7,26.6,33.3,72,97.2,105.6,-8.39999999999999,0.92,54.9,54.2,20.8,13.3,25
"2015 / 2016","11",2015-12-18,"1930","20151218-1930_DANvsMEL","Melbourne","Away","Dandenong",70,76,-6,"Loss",29,60,48.3,7,19,36.8,5,8,62.5,22,7,29,11,15,4,1,2,19,11,6,9,3,9,26,72,97.2,105.6,-8.39999999999999,0.92,54.9,54.2,20.8,13.3,25,72,105.6,97.2,8.39999999999999,1.09,52.7,48.4,16.7,26.6,33.3
"2015 / 2016","11",2015-12-18,"1930","20151218-1930_SEQvsTSV","South-East Queensland","Home","Townsville",95,75,20,"Win",38,78,48.7,9,21,42.9,10,11,90.9,25,11,36,18,9,4,5,4,16,10,24,11,0,16,28,81,117.3,92.6,24.7,1.27,57.1,54.5,11.1,14.1,32.4,83,90.4,114.5,-24.1,0.79,50.7,41.3,20.5,36.5,21.9
"2015 / 2016","11",2015-12-18,"1930","20151218-1930_SEQvsTSV","Townsville","Away","South-East Queensland",75,95,-20,"Loss",25,63,39.7,2,14,14.3,23,23,100,23,7,30,15,17,3,4,5,10,16,4,8,0,9,34,83,90.4,114.5,-24.1,0.79,50.7,41.3,20.5,36.5,21.9,81,117.3,92.6,24.7,1.27,57.1,54.5,11.1,14.1,32.4
"2015 / 2016","11",2015-12-19,"1930","20151219-1930_ADLvsCAN","Adelaide","Home","Canberra",75,68,7,"Win",27,70,38.6,5,16,31.2,16,25,64,29,15,44,20,16,7,1,3,24,18,7,12,0,18,30,82,91.5,82.9,8.59999999999999,1.1,45.8,42.1,19.5,35.7,34.9,80,85,93.8,-8.8,0.91,47.7,39.7,21.2,48.3,19.4
"2015 / 2016","11",2015-12-19,"1930","20151219-1930_ADLvsCAN","Canberra","Away","Adelaide",68,75,-7,"Loss",22,58,37.9,2,16,12.5,22,28,78.6,28,7,35,9,17,6,3,1,18,24,12,4,0,10,34,80,85,93.8,-8.8,0.91,47.7,39.7,21.2,48.3,19.4,82,91.5,82.9,8.59999999999999,1.1,45.8,42.1,19.5,35.7,34.9
"2015 / 2016","11",2015-12-19,"1930","20151219-1930_MELvsSYD","Melbourne","Home","Sydney",62,65,-3,"Loss",21,58,36.2,8,24,33.3,12,15,80,18,17,35,13,21,9,4,0,20,15,13,19,0,11,12,69,89.9,94.2,-4.3,0.95,47.6,43.1,30.4,25.9,54.8,71,91.5,87.3,4.2,1.05,52.7,50.9,21.1,21.4,21.7
"2015 / 2016","11",2015-12-19,"1930","20151219-1930_MELvsSYD","Sydney","Away","Melbourne",65,62,3,"Win",26,56,46.4,5,15,33.3,8,12,66.7,14,5,19,14,15,6,0,3,15,20,14,5,6,11,24,71,91.5,87.3,4.2,1.05,52.7,50.9,21.1,21.4,21.7,69,89.9,94.2,-4.3,0.95,47.6,43.1,30.4,25.9,54.8
"2015 / 2016","11",2015-12-20,"1500","20151220-1500_TSVvsDAN","Townsville","Home","Dandenong",70,61,9,"Win",25,67,37.3,10,24,41.7,10,14,71.4,28,10,38,20,14,0,4,3,12,12,9,4,0,8,24,77,90.9,79.2,11.7,1.15,47.5,44.8,18.2,20.9,28.6,76,80.3,92.1,-11.8,0.87,40.3,37.1,13.2,17.1,24.3
"2015 / 2016","11",2015-12-20,"1500","20151220-1500_TSVvsDAN","Dandenong","Away","Townsville",61,70,-9,"Loss",25,70,35.7,2,14,14.3,9,12,75,25,9,34,7,10,4,3,4,12,12,16,11,0,9,28,76,80.3,92.1,-11.8,0.87,40.3,37.1,13.2,17.1,24.3,77,90.9,79.2,11.7,1.15,47.5,44.8,18.2,20.9,28.6
