"season","pageIDs201516","teamName","teamShortName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint"
"2015 / 2016",137220,"SEQ Stars","SEQ","Home","Bendigo Spirit","80",63,17,"32","72","44","4","12","33","12","17","70","26","10","36","15","9","8","1","5","16","20","14","8","0","0","44"
"2015 / 2016",137220,"Bendigo Spirit","Spirit","Away","SEQ Stars","63",80,-17,"26","70","37","1","14","7","10","13","76","28","15","43","8","17","1","5","1","20","16","6","4","0","0","40"
"2015 / 2016",137221,"Perth Lynx","Lynx","Home","Sydney Uni Flames","81",70,11,"30","75","40","8","16","50","13","18","72","25","15","40","18","8","6","4","3","24","19","13","15","2","0","34"
"2015 / 2016",137221,"Sydney Uni Flames","Flames","Away","Perth Lynx","70",81,-11,"23","58","39","6","20","30","18","25","72","24","10","34","9","15","2","3","4","19","24","6","0","0","0","18"
"2015 / 2016",137222,"Townsville Fire","Fire","Home","Bendigo Spirit","64",72,-8,"25","58","43","5","13","38","9","14","64","20","5","25","12","17","6","4","1","19","13","13","7","0","0","32"
"2015 / 2016",137222,"Bendigo Spirit","Spirit","Away","Townsville Fire","72",64,8,"25","56","44","5","14","35","17","20","85","25","5","30","16","16","9","1","4","13","19","15","3","0","0","38"
"2015 / 2016",137223,"UC Capitals","Capitals","Home","Dandenong Rangers","72",80,-8,"28","66","42","6","19","31","10","13","76","22","9","31","17","13","6","3","2","22","16","7","6","8","0","30"
"2015 / 2016",137223,"Dandenong Rangers","Rangers","Away","UC Capitals","80",72,8,"27","65","41","3","11","27","23","27","85","28","13","41","14","12","8","2","3","16","22","12","14","19","0","24"
"2015 / 2016",137224,"Melbourne Boomers","Boomers","Home","Adelaide Lightning","94",72,22,"39","81","48","5","23","21","11","15","73","34","14","48","18","13","3","2","0","15","15","18","15","0","0","54"
"2015 / 2016",137224,"Adelaide Lightning","Lightning","Away","Melbourne Boomers","72",94,-22,"27","73","36","3","10","30","15","19","78","18","11","29","12","13","4","0","2","15","15","10","6","2","0","36"
"2015 / 2016",137225,"Sydney Uni Flames","Flames","Home","UC Capitals","85",67,18,"29","57","50","7","16","43","20","24","83","27","5","32","17","15","7","0","2","19","22","13","4","0","22","30"
"2015 / 2016",137225,"UC Capitals","Capitals","Away","Sydney Uni Flames","67",85,-18,"26","57","45","4","13","30","11","15","73","19","5","24","12","17","3","2","0","22","19","9","4","0","37","24"
"2015 / 2016",137226,"Dandenong Rangers","Rangers","Home","SEQ Stars","89",81,8,"36","68","52","4","9","44","13","19","68","27","9","36","19","16","4","4","1","12","19","11","6","2","23","48"
"2015 / 2016",137226,"SEQ Stars","SEQ","Away","Dandenong Rangers","81",89,-8,"32","74","43","7","18","38","10","14","71","23","7","30","11","12","11","1","4","19","12","10","8","2","7","40"
"2015 / 2016",137227,"Adelaide Lightning","Lightning","Home","Sydney Uni Flames","71",88,-17,"26","77","33","3","13","23","16","24","66","22","16","38","13","15","9","2","7","23","20","10","13","0","19","28"
"2015 / 2016",137227,"Sydney Uni Flames","Flames","Away","Adelaide Lightning","88",71,17,"33","64","51","3","15","20","19","27","70","35","10","45","21","15","4","7","2","20","22","14","11","0","37","26"
"2015 / 2016",137228,"Melbourne Boomers","Boomers","Home","Perth Lynx","68",78,-10,"22","57","38","6","13","46","18","19","94","20","9","29","13","17","2","3","4","16","16","9","9","0","0","20"
"2015 / 2016",137228,"Perth Lynx","Lynx","Away","Melbourne Boomers","78",68,10,"31","73","42","7","24","29","9","9","100","22","12","34","16","11","7","4","3","16","16","16","9","2","14","30"
"2015 / 2016",137229,"Bendigo Spirit","Spirit","Home","Perth Lynx","81",65,16,"31","66","46","10","26","38","9","13","69","29","11","40","16","18","5","3","3","20","15","10","15","8","12","42"
"2015 / 2016",137229,"Perth Lynx","Lynx","Away","Bendigo Spirit","65",81,-16,"22","68","32","5","23","21","16","21","76","19","13","32","10","11","6","3","3","15","20","14","10","2","14","16"
"2015 / 2016",137230,"Townsville Fire","Fire","Home","UC Capitals","104",60,44,"43","77","55","9","21","42","9","13","69","29","10","39","19","13","8","6","2","25","20","29","12","0","28","50"
"2015 / 2016",137230,"UC Capitals","Capitals","Away","Townsville Fire","60",104,-44,"16","56","28","6","16","37","22","28","78","12","6","18","14","19","1","2","6","20","25","9","5","0","26","10"
"2015 / 2016",137231,"UC Capitals","Capitals","Home","SEQ Stars","58",95,-37,"19","62","30","3","16","18","17","18","94","19","7","26","14","18","13","1","4","13","19","8","7","2","10","26"
"2015 / 2016",137231,"SEQ Stars","SEQ","Away","UC Capitals","95",58,37,"37","72","51","10","16","62","11","14","78","34","12","46","19","18","8","4","1","19","13","22","18","4","43","44"
"2015 / 2016",137232,"Dandenong Rangers","Rangers","Home","Bendigo Spirit","89",57,32,"33","74","44","6","15","40","17","22","77","27","14","41","16","9","6","7","3","17","21","9","9","6","28","38"
"2015 / 2016",137232,"Bendigo Spirit","Spirit","Away","Dandenong Rangers","57",89,-32,"18","67","26","0","13","0","21","25","84","21","12","33","13","16","7","3","7","21","17","4","2","8","10","26"
"2015 / 2016",137233,"Bendigo Spirit","Spirit","Home","UC Capitals","77",66,11,"24","53","45","5","16","31","24","29","82","26","12","38","16","14","8","3","6","19","22","14","8","0","4","36"
"2015 / 2016",137233,"UC Capitals","Capitals","Away","Bendigo Spirit","66",77,-11,"22","57","38","7","21","33","15","18","83","18","8","26","15","13","4","6","3","22","19","11","7","0","5","20"
"2015 / 2016",137234,"Sydney Uni Flames","Flames","Home","Melbourne Boomers","93",86,7,"35","55","63","10","17","58","13","16","81","16","7","23","20","21","6","2","2","18","16","24","4","0","15","40"
"2015 / 2016",137234,"Melbourne Boomers","Boomers","Away","Sydney Uni Flames","86",93,-7,"32","62","51","6","15","40","16","20","80","14","13","27","19","19","8","2","2","16","18","18","7","0","9","40"
"2015 / 2016",137235,"Townsville Fire","Fire","Home","Adelaide Lightning","104",41,63,"35","61","57","13","23","56","21","26","80","36","8","44","21","17","8","3","1","15","23","25","9","0","40","34"
"2015 / 2016",137235,"Adelaide Lightning","Lightning","Away","Townsville Fire","41",104,-63,"16","70","22","1","10","10","8","15","53","19","15","34","6","21","8","1","3","23","15","13","8","0","9","18"
"2015 / 2016",137236,"Perth Lynx","Lynx","Home","Dandenong Rangers","83",74,9,"30","84","35","8","25","32","15","22","68","23","19","42","12","15","10","4","6","21","21","20","0","10","8","42"
"2015 / 2016",137236,"Dandenong Rangers","Rangers","Away","Perth Lynx","74",83,-9,"28","69","40","2","4","50","16","19","84","29","10","39","15","20","6","6","4","21","21","12","15","0","14","32"
"2015 / 2016",137237,"SEQ Stars","SEQ","Home","Adelaide Lightning","104",74,30,"36","76","47","13","27","48","19","24","79","25","13","38","16","10","4","1","2","20","21","22","20","0","19","32"
"2015 / 2016",137237,"Adelaide Lightning","Lightning","Away","SEQ Stars","74",104,-30,"25","69","36","3","21","14","21","26","80","27","15","42","11","18","4","2","1","21","20","11","8","0","18","30"
"2015 / 2016",137238,"Perth Lynx","Lynx","Home","Bendigo Spirit","67",73,-6,"23","74","31","6","25","24","15","21","71","27","17","44","13","13","5","11","5","18","15","9","8","0","7","22"
"2015 / 2016",137238,"Bendigo Spirit","Spirit","Away","Perth Lynx","73",67,6,"25","71","35","3","19","15","20","24","83","26","11","37","14","11","9","5","11","15","18","10","16","0","8","36"
"2015 / 2016",137240,"Dandenong Rangers","Rangers","Home","Townsville Fire","75",83,-8,"33","70","47","4","8","50","5","7","71","27","4","31","11","12","4","3","4","19","14","8","0","0","12","44"
"2015 / 2016",137240,"Townsville Fire","Fire","Away","Dandenong Rangers","83",75,8,"30","75","40","1","16","6","22","26","84","29","13","42","13","12","3","4","3","14","19","8","10","0","6","38"
"2015 / 2016",137241,"UC Capitals","Capitals","Home","Melbourne Boomers","63",91,-28,"25","66","37","5","14","35","8","15","53","22","10","32","15","20","6","4","4","11","18","10","8","2","24","34"
"2015 / 2016",137241,"Melbourne Boomers","Boomers","Away","UC Capitals","91",63,28,"40","85","47","8","24","33","3","6","50","29","18","47","19","15","11","4","4","18","11","30","25","10","24","42"
"2015 / 2016",137242,"Adelaide Lightning","Lightning","Home","Bendigo Spirit","76",68,8,"27","69","39","6","17","35","16","18","88","31","13","44","13","10","5","2","3","16","21","10","13","0","11","24"
"2015 / 2016",137242,"Bendigo Spirit","Spirit","Away","Adelaide Lightning","68",76,-8,"26","66","39","11","26","42","5","9","55","27","7","34","16","14","4","3","2","21","16","7","12","0","4","30"
"2015 / 2016",137243,"Melbourne Boomers","Boomers","Home","Townsville Fire","84",75,9,"32","66","48","8","19","42","12","14","85","29","11","40","19","19","4","1","4","16","17","15","4","2","10","8"
"2015 / 2016",137243,"Townsville Fire","Fire","Away","Melbourne Boomers","75",84,-9,"32","74","43","4","16","25","7","13","53","20","7","27","12","13","6","4","1","17","16","14","9","4","10","52"
