"season","round","date","time","gameIDs201415","teamName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","teamResult","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint","possess","offRtg","defRtg","pointsMarginRtg","offDefRatio","trueShootingRtg","eFGpct","turnoverRate","freeThrowRate","offReboundRate","oppPossess","oppOffRtg","oppDefRtg","oppPointsMarginRtg","oppOffDefRatio","oppTrueShootingRtg","oppeFGpct","oppTurnoverRate","oppFreeThrowRate","oppOffReboundRate"
"2014 / 2015","2",2014-10-25,"1830","20141025-1830_DANvsSYD","Sydney","Away","Dandenong",81,78,3,"Win",26,72,36.1,8,21,38.1,21,33,63.6,27,17,44,21,10,2,3,1,15,19,5,10,3,22,24,80,101.2,97.5,3.7,1.04,46.2,41.7,12.5,45.8,38.6,79,98.7,102.5,-3.8,0.96,46.4,42,11.4,25.3,32.5
"2014 / 2015","2",2014-10-26,"1300","20141026-1300_MELvsBEN","Melbourne","Home","Bendigo",67,76,-9,"Loss",29,61,47.5,2,11,18.2,7,11,63.6,20,2,22,20,15,8,5,4,15,15,18,0,4,7,36,79,84.8,96.2,-11.4,0.88,50.6,49.2,19,18,7.4,74,102.7,90.5,12.2,1.13,57.1,52.5,25.7,27.1,35.5
"2014 / 2015","2",2014-10-26,"1300","20141026-1300_MELvsBEN","Bendigo","Away","Melbourne",76,67,9,"Win",29,59,49.2,4,8,50,14,16,87.5,25,11,36,18,19,4,4,5,15,15,10,9,4,13,24,74,102.7,90.5,12.2,1.13,57.1,52.5,25.7,27.1,35.5,79,84.8,96.2,-11.4,0.88,50.6,49.2,19,18,7.4
"2014 / 2015","3",2014-10-30,"1930","20141030-1930_BENvsDAN","Bendigo","Home","Dandenong",97,75,22,"Win",38,72,52.8,8,21,38.1,13,17,76.5,24,15,39,29,12,4,4,3,15,17,10,12,4,31,42,76,127.6,98.7,28.9,1.29,60.6,58.3,15.8,23.6,44.1,76,98.7,127.6,-28.9,0.77,50.6,46.3,14.5,19.1,27.3
"2014 / 2015","3",2014-10-30,"1930","20141030-1930_BENvsDAN","Dandenong","Away","Bendigo",75,97,-22,"Loss",30,68,44.1,3,13,23.1,12,13,92.3,19,9,28,17,11,5,3,4,17,15,15,4,0,17,28,76,98.7,127.6,-28.9,0.77,50.6,46.3,14.5,19.1,27.3,76,127.6,98.7,28.9,1.29,60.6,58.3,15.8,23.6,44.1
"2014 / 2015","3",2014-10-31,"1900","20141031-1900_TSVvsADL","Townsville","Home","Adelaide",86,60,26,"Win",32,75,42.7,6,14,42.9,16,26,61.5,34,19,53,17,14,8,5,2,9,18,14,10,0,13,38,81,106.2,74.1,32.1,1.43,49.2,46.7,17.3,34.7,42.2,81,74.1,106.2,-32.1,0.7,41.5,40.7,19.8,7.1,17.1
"2014 / 2015","3",2014-10-31,"1900","20141031-1900_TSVvsADL","Adelaide","Away","Townsville",60,86,-26,"Loss",26,70,37.1,5,16,31.2,3,5,60,26,7,33,13,16,3,2,5,18,9,6,11,0,30,26,81,74.1,106.2,-32.1,0.7,41.5,40.7,19.8,7.1,17.1,81,106.2,74.1,32.1,1.43,49.2,46.7,17.3,34.7,42.2
"2014 / 2015","3",2014-11-01,"1500","20141101-1500_CANvsDAN","Canberra","Home","Dandenong",101,72,29,"Win",37,73,50.7,13,23,56.5,14,16,87.5,23,13,36,24,11,7,2,5,17,18,20,8,4,39,40,78,129.5,92.3,37.2,1.4,62.7,59.6,14.1,21.9,48.1,74,97.3,136.5,-39.2,0.71,52.8,49.2,18.9,21,25.8
"2014 / 2015","3",2014-11-01,"1500","20141101-1500_CANvsDAN","Dandenong","Away","Canberra",72,101,-29,"Loss",28,62,45.2,5,12,41.7,11,13,84.6,14,8,22,15,14,3,5,2,19,17,12,10,0,21,26,74,97.3,136.5,-39.2,0.71,52.8,49.2,18.9,21,25.8,78,129.5,92.3,37.2,1.4,62.7,59.6,14.1,21.9,48.1
"2014 / 2015","3",2014-11-01,"1830","20141101-1830_WCWvsMEL","West Coast","Home","Melbourne",53,68,-15,"Loss",18,60,30,1,17,5.9,16,21,76.2,21,6,27,13,9,3,8,0,16,19,11,2,0,30,30,72,73.6,94.4,-20.8,0.78,37.9,30.8,12.5,35,15.8,76,89.5,69.7,19.8,1.28,44.5,43.2,18.4,6.8,40
"2014 / 2015","3",2014-11-01,"1830","20141101-1830_WCWvsMEL","Melbourne","Away","West Coast",68,53,15,"Win",29,74,39.2,6,15,40,4,5,80,32,14,46,16,14,3,0,8,20,16,4,8,0,9,34,76,89.5,69.7,19.8,1.28,44.5,43.2,18.4,6.8,40,72,73.6,94.4,-20.8,0.78,37.9,30.8,12.5,35,15.8
"2014 / 2015","4",2014-11-05,"1900","20141105-1900_SYDvsCAN","Sydney","Home","Canberra",76,60,16,"Win",28,64,43.8,4,10,40,16,22,72.7,30,12,42,9,9,5,3,0,20,17,2,15,0,27,24,71,107,84.5,22.5,1.27,51,46.9,12.7,34.4,36.4,72,83.3,105.6,-22.3,0.79,40.4,39,16.7,19.1,31.8
"2014 / 2015","4",2014-11-05,"1900","20141105-1900_SYDvsCAN","Canberra","Away","Sydney",60,76,-16,"Loss",23,68,33.8,7,20,35,7,13,53.8,21,14,35,14,12,1,0,3,17,20,4,8,0,6,22,72,83.3,105.6,-22.3,0.79,40.4,39,16.7,19.1,31.8,71,107,84.5,22.5,1.27,51,46.9,12.7,34.4,36.4
"2014 / 2015","4",2014-11-07,"1930","20141107-1930_WCWvsBEN","West Coast","Home","Bendigo",72,61,11,"Win",27,59,45.8,10,23,43.5,8,13,61.5,20,5,25,18,15,5,8,5,21,17,15,2,0,26,26,75,96,81.3,14.7,1.18,55.2,54.2,20,22,18.5,74,82.4,97.3,-14.9,0.85,40.1,35.3,17.6,25,41.2
"2014 / 2015","4",2014-11-07,"1930","20141107-1930_WCWvsBEN","Bendigo","Away","West Coast",61,72,-11,"Loss",22,68,32.4,4,23,17.4,13,17,76.5,22,14,36,18,13,3,5,8,18,20,17,11,4,29,26,74,82.4,97.3,-14.9,0.85,40.1,35.3,17.6,25,41.2,75,96,81.3,14.7,1.18,55.2,54.2,20,22,18.5
"2014 / 2015","4",2014-11-08,"1500","20141108-1500_DANvsTSV","Dandenong","Home","Townsville",79,72,7,"Win",32,71,45.1,7,20,35,8,8,100,27,5,32,17,16,7,5,2,18,10,18,4,2,15,30,86,91.9,83.7,8.2,1.1,52.8,50,18.6,11.3,15.6,87,82.8,90.8,-8,0.91,47.2,43.7,24.1,15.5,27
"2014 / 2015","4",2014-11-08,"1500","20141108-1500_DANvsTSV","Townsville","Away","Dandenong",72,79,-7,"Loss",30,71,42.3,2,12,16.7,10,11,90.9,27,10,37,14,21,5,2,5,10,18,19,8,4,22,44,87,82.8,90.8,-8,0.91,47.2,43.7,24.1,15.5,27,86,91.9,83.7,8.2,1.1,52.8,50,18.6,11.3,15.6
"2014 / 2015","4",2014-11-09,"1300","20141109-1300_CANvsWCW","Canberra","Home","West Coast",64,54,10,"Win",22,64,34.4,5,20,25,15,22,68.2,33,14,47,13,18,7,3,6,19,23,6,7,6,9,28,78,82.1,69.2,12.9,1.19,43,38.3,23.1,34.4,36.8,80,67.5,80,-12.5,0.84,39.3,36.5,21.2,19,13.2
"2014 / 2015","4",2014-11-09,"1300","20141109-1300_CANvsWCW","West Coast","Away","Canberra",54,64,-10,"Loss",21,63,33.3,4,19,21.1,8,12,66.7,24,5,29,7,17,5,6,3,23,19,16,7,0,11,22,80,67.5,80,-12.5,0.84,39.3,36.5,21.2,19,13.2,78,82.1,69.2,12.9,1.19,43,38.3,23.1,34.4,36.8
"2014 / 2015","4",2014-11-09,"1300","20141109-1300_MELvsDAN","Melbourne","Home","Dandenong",93,77,16,"Win",40,71,56.3,6,16,37.5,7,9,77.8,20,11,31,24,12,8,5,2,10,17,15,8,2,10,48,76,122.4,101.3,21.1,1.21,61.8,60.6,15.8,12.7,40.7,75,102.7,124,-21.3,0.83,59,56.6,25.3,14.8,31
"2014 / 2015","4",2014-11-09,"1300","20141109-1300_MELvsDAN","Dandenong","Away","Melbourne",77,93,-16,"Loss",32,61,52.5,5,9,55.6,8,9,88.9,16,9,25,16,19,4,2,5,17,10,14,8,0,12,34,75,102.7,124,-21.3,0.83,59,56.6,25.3,14.8,31,76,122.4,101.3,21.1,1.21,61.8,60.6,15.8,12.7,40.7
"2014 / 2015","4",2014-11-09,"1400","20141109-1400_ADLvsBEN","Adelaide","Home","Bendigo",33,76,-43,"Loss",13,63,20.6,1,16,6.2,6,14,42.9,24,12,36,7,15,3,7,3,17,14,5,0,0,20,10,72,45.8,105.6,-59.8,0.43,23.7,21.4,20.8,22.2,26.1,71,107,46.5,60.5,2.3,48.8,44.6,15.5,41.5,41.5
"2014 / 2015","4",2014-11-09,"1400","20141109-1400_ADLvsBEN","Bendigo","Away","Adelaide",76,33,43,"Win",24,65,36.9,10,17,58.8,18,27,66.7,34,17,51,19,11,9,3,7,14,17,14,11,0,34,18,71,107,46.5,60.5,2.3,48.8,44.6,15.5,41.5,41.5,72,45.8,105.6,-59.8,0.43,23.7,21.4,20.8,22.2,26.1
"2014 / 2015","5",2014-11-14,"1200","20141114-1200_WCWvsCAN","West Coast","Home","Canberra",70,68,2,"Win",28,66,42.4,3,16,18.8,11,13,84.6,23,12,35,12,16,3,4,3,14,18,9,12,0,10,38,76,92.1,89.5,2.59999999999999,1.03,48.5,44.7,21.1,19.7,42.9,69,98.6,101.4,-2.80000000000001,0.97,51.8,50,14.5,23.7,20.7
"2014 / 2015","5",2014-11-14,"1200","20141114-1200_WCWvsCAN","Canberra","Away","West Coast",68,70,-2,"Loss",26,59,44.1,7,13,53.8,9,14,64.3,16,6,22,11,10,6,3,4,18,14,10,4,2,32,28,69,98.6,101.4,-2.80000000000001,0.97,51.8,50,14.5,23.7,20.7,76,92.1,89.5,2.59999999999999,1.03,48.5,44.7,21.1,19.7,42.9
"2014 / 2015","5",2014-11-14,"1900","20141114-1900_SYDvsMEL","Sydney","Home","Melbourne",90,78,12,"Win",33,61,54.1,8,15,53.3,16,25,64,22,10,32,21,14,7,4,3,25,24,11,8,0,34,36,76,118.4,102.6,15.8,1.15,61.7,60.7,18.4,41,33.3,79,98.7,113.9,-15.2,0.87,52.1,47.6,20.3,39.7,33.3
"2014 / 2015","5",2014-11-14,"1900","20141114-1900_SYDvsMEL","Melbourne","Away","Sydney",78,90,-12,"Loss",28,63,44.4,4,11,36.4,18,25,72,20,11,31,16,16,5,3,4,24,25,6,8,0,7,30,79,98.7,113.9,-15.2,0.87,52.1,47.6,20.3,39.7,33.3,76,118.4,102.6,15.8,1.15,61.7,60.7,18.4,41,33.3
"2014 / 2015","5",2014-11-15,"1700","20141115-1700_ADLvsSYD","Adelaide","Home","Sydney",59,78,-19,"Loss",24,68,35.3,4,16,25,7,12,58.3,25,7,32,20,17,5,3,8,16,15,13,4,0,9,28,83,71.1,94,-22.9,0.76,40,38.2,20.5,17.6,18.9,81,96.3,72.8,23.5,1.32,53.4,50.8,19.8,26.2,21.9
"2014 / 2015","5",2014-11-15,"1700","20141115-1700_ADLvsSYD","Sydney","Away","Adelaide",78,59,19,"Win",29,65,44.6,8,20,40,12,17,70.6,30,7,37,17,16,4,8,3,15,16,13,7,0,30,30,81,96.3,72.8,23.5,1.32,53.4,50.8,19.8,26.2,21.9,83,71.1,94,-22.9,0.76,40,38.2,20.5,17.6,18.9
"2014 / 2015","5",2014-11-15,"1900","20141115-1900_TSVvsMEL","Townsville","Home","Melbourne",75,52,23,"Win",29,70,41.4,4,12,33.3,13,16,81.2,31,11,42,19,15,8,2,6,11,12,19,4,2,23,36,81,92.6,64.2,28.4,1.44,48.3,44.3,18.5,22.9,31.4,77,67.5,97.4,-29.9,0.69,41,41.1,24.7,4.8,13.9
"2014 / 2015","5",2014-11-15,"1900","20141115-1900_TSVvsMEL","Melbourne","Away","Townsville",52,75,-23,"Loss",23,62,37.1,5,9,55.6,1,3,33.3,24,5,29,15,19,5,5,2,12,11,12,5,0,19,22,77,67.5,97.4,-29.9,0.69,41,41.1,24.7,4.8,13.9,81,92.6,64.2,28.4,1.44,48.3,44.3,18.5,22.9,31.4
"2014 / 2015","5",2014-11-16,"1400","20141116-1400_DANvsBEN","Dandenong","Home","Bendigo",75,89,-14,"Loss",28,74,37.8,5,13,38.5,14,17,82.4,25,11,36,20,11,7,4,2,18,16,6,8,0,24,30,81,92.6,109.9,-17.3,0.84,45.7,41.2,13.6,23,23.9,84,106,89.3,16.7,1.19,56.4,52.2,15.5,33.8,21.9
"2014 / 2015","5",2014-11-16,"1400","20141116-1400_DANvsBEN","Bendigo","Away","Dandenong",89,75,14,"Win",32,68,47.1,7,19,36.8,18,23,78.3,35,7,42,23,13,4,2,4,16,18,16,7,4,27,32,84,106,89.3,16.7,1.19,56.4,52.2,15.5,33.8,21.9,81,92.6,109.9,-17.3,0.84,45.7,41.2,13.6,23,23.9
"2014 / 2015","6",2014-11-21,"1700","20141121-1700_ADLvsTSV","Adelaide","Home","Townsville",53,71,-18,"Loss",21,66,31.8,6,16,37.5,5,10,50,23,16,39,11,19,4,5,1,18,14,4,10,0,20,26,73,72.6,97.3,-24.7,0.75,37.5,36.4,26,15.2,37.2,77,92.2,68.8,23.4,1.34,47.7,39.8,19.5,34.4,34.3
"2014 / 2015","6",2014-11-21,"1700","20141121-1700_ADLvsTSV","Townsville","Away","Adelaide",71,53,18,"Win",24,64,37.5,3,11,27.3,20,22,90.9,27,12,39,13,15,9,1,5,14,18,11,2,0,22,30,77,92.2,68.8,23.4,1.34,47.7,39.8,19.5,34.4,34.3,73,72.6,97.3,-24.7,0.75,37.5,36.4,26,15.2,37.2
"2014 / 2015","6",2014-11-22,"1500","20141122-1500_MELvsADL","Melbourne","Home","Adelaide",78,61,17,"Win",32,74,43.2,5,12,41.7,9,14,64.3,21,18,39,16,10,4,0,3,16,18,15,18,0,6,38,72,108.3,84.7,23.6,1.28,48.4,46.6,13.9,18.9,47.4,70,87.1,111.4,-24.3,0.78,44.4,41.4,21.4,15.6,38.2
"2014 / 2015","6",2014-11-22,"1500","20141122-1500_MELvsADL","Adelaide","Away","Melbourne",61,78,-17,"Loss",25,64,39.1,3,17,17.6,8,10,80,20,13,33,16,15,3,3,0,18,16,10,8,0,11,30,70,87.1,111.4,-24.3,0.78,44.4,41.4,21.4,15.6,38.2,72,108.3,84.7,23.6,1.28,48.4,46.6,13.9,18.9,47.4
"2014 / 2015","6",2014-11-22,"1830","20141122-1830_DANvsCAN","Dandenong","Home","Canberra",92,72,20,"Win",37,77,48.1,6,9,66.7,12,13,92.3,23,13,36,17,12,10,5,1,20,17,17,13,2,17,42,82,112.2,87.8,24.4,1.28,55.3,51.9,14.6,16.9,38.2,78,92.3,117.9,-25.6,0.78,53.7,53.4,25.6,28.8,25.8
"2014 / 2015","6",2014-11-22,"1830","20141122-1830_DANvsCAN","Canberra","Away","Dandenong",72,92,-20,"Loss",28,59,47.5,7,16,43.8,9,17,52.9,21,8,29,18,20,1,1,5,17,20,14,4,2,11,30,78,92.3,117.9,-25.6,0.78,53.7,53.4,25.6,28.8,25.8,82,112.2,87.8,24.4,1.28,55.3,51.9,14.6,16.9,38.2
"2014 / 2015","6",2014-11-22,"1930","20141122-1930_WCWvsSYD","West Coast","Home","Sydney",79,77,2,"Win",25,57,43.9,6,15,40,23,30,76.7,26,8,34,16,16,7,2,1,16,23,14,5,0,12,28,78,101.3,98.7,2.59999999999999,1.03,55.4,49.1,20.5,52.6,25.8,81,95.1,97.5,-2.40000000000001,0.98,50.3,47.8,19.8,23.2,29.7
"2014 / 2015","6",2014-11-22,"1930","20141122-1930_WCWvsSYD","Sydney","Away","West Coast",77,79,-2,"Loss",28,69,40.6,10,25,40,11,16,68.8,23,11,34,14,16,8,1,2,24,16,17,11,0,20,28,81,95.1,97.5,-2.40000000000001,0.98,50.3,47.8,19.8,23.2,29.7,78,101.3,98.7,2.59999999999999,1.03,55.4,49.1,20.5,52.6,25.8
"2014 / 2015","7",2014-11-28,"1900","20141128-1900_SYDvsADL","Sydney","Home","Adelaide",66,54,12,"Win",21,60,35,6,18,33.3,18,24,75,22,12,34,14,11,11,2,3,19,18,10,8,0,28,22,70,94.3,77.1,17.2,1.22,46.2,40,15.7,40,30.8,72,75,91.7,-16.7,0.82,46.8,44.1,29.2,27.5,21.4
"2014 / 2015","7",2014-11-28,"1900","20141128-1900_SYDvsADL","Adelaide","Away","Sydney",54,66,-12,"Loss",21,51,41.2,3,17,17.6,9,14,64.3,27,6,33,15,21,2,3,2,18,19,2,6,0,9,22,72,75,91.7,-16.7,0.82,46.8,44.1,29.2,27.5,21.4,70,94.3,77.1,17.2,1.22,46.2,40,15.7,40,30.8
"2014 / 2015","7",2014-11-29,"1500","20141129-1500_BENvsMEL","Bendigo","Home","Melbourne",70,73,-3,"Loss",28,67,41.8,3,14,21.4,11,15,73.3,25,12,37,16,16,8,1,5,20,17,20,10,2,19,36,78,89.7,93.6,-3.89999999999999,0.96,47.2,44,20.5,22.4,31.6,76,96.1,92.1,4,1.04,53.3,50,18.4,33.9,19.4
"2014 / 2015","7",2014-11-29,"1500","20141129-1500_BENvsMEL","Melbourne","Away","Bendigo",73,70,3,"Win",27,59,45.8,5,13,38.5,14,20,70,26,6,32,14,14,5,5,1,17,20,8,4,4,19,26,76,96.1,92.1,4,1.04,53.3,50,18.4,33.9,19.4,78,89.7,93.6,-3.89999999999999,0.96,47.2,44,20.5,22.4,31.6
"2014 / 2015","7",2014-11-29,"1900","20141129-1900_CANvsADL","Canberra","Home","Adelaide",76,60,16,"Win",24,60,40,8,15,53.3,20,29,69,29,14,43,14,14,4,1,3,14,24,9,14,0,13,26,73,104.1,82.2,21.9,1.27,51.5,46.7,19.2,48.3,45.2,71,84.5,107,-22.5,0.79,45.3,42.6,16.9,18,19.4
"2014 / 2015","7",2014-11-29,"1900","20141129-1900_CANvsADL","Adelaide","Away","Canberra",60,76,-16,"Loss",23,61,37.7,6,21,28.6,8,11,72.7,17,7,24,10,12,5,3,1,24,14,14,2,2,28,32,71,84.5,107,-22.5,0.79,45.3,42.6,16.9,18,19.4,73,104.1,82.2,21.9,1.27,51.5,46.7,19.2,48.3,45.2
"2014 / 2015","7",2014-11-29,"1900","20141129-1900_TSVvsWCW","Townsville","Home","West Coast",83,46,37,"Win",34,75,45.3,9,21,42.9,6,8,75,32,17,49,18,12,5,6,3,12,15,18,17,0,43,36,74,112.2,62.2,50,1.8,52.7,51.3,16.2,10.7,44.7,71,64.8,116.9,-52.1,0.55,36.1,33.6,22.5,20.7,20
"2014 / 2015","7",2014-11-29,"1900","20141129-1900_TSVvsWCW","West Coast","Away","Townsville",46,83,-37,"Loss",16,58,27.6,7,14,50,7,12,58.3,21,8,29,8,16,6,3,6,15,12,3,2,0,11,16,71,64.8,116.9,-52.1,0.55,36.1,33.6,22.5,20.7,20,74,112.2,62.2,50,1.8,52.7,51.3,16.2,10.7,44.7
"2014 / 2015","7",2014-11-30,"1300","20141130-1300_MELvsSYD","Melbourne","Home","Sydney",83,77,6,"Win",31,70,44.3,8,17,47.1,13,19,68.4,27,11,38,17,12,3,4,7,13,20,10,14,2,24,16,79,105.1,97.5,7.59999999999999,1.08,52.5,50,15.2,27.1,34.4,73,105.5,113.7,-8.2,0.93,49,45.1,9.6,19.4,30.8
"2014 / 2015","7",2014-11-30,"1300","20141130-1300_MELvsSYD","Sydney","Away","Melbourne",77,83,-6,"Loss",30,72,41.7,5,17,29.4,12,14,85.7,21,12,33,17,7,6,7,4,20,13,15,8,2,25,24,73,105.5,113.7,-8.2,0.93,49,45.1,9.6,19.4,30.8,79,105.1,97.5,7.59999999999999,1.08,52.5,50,15.2,27.1,34.4
"2014 / 2015","8",2014-12-05,"1900","20141205-1900_SYDvsBEN","Sydney","Home","Bendigo",74,85,-11,"Loss",27,66,40.9,6,18,33.3,14,20,70,23,10,33,15,15,11,1,2,20,18,16,7,0,10,22,80,92.5,106.2,-13.7,0.87,49,45.5,18.8,30.3,27.8,84,101.2,88.1,13.1,1.15,58.3,52.4,21.4,37.1,20.7
"2014 / 2015","8",2014-12-05,"1900","20141205-1900_SYDvsBEN","Bendigo","Away","Sydney",85,74,11,"Win",30,62,48.4,5,15,33.3,20,23,87,26,6,32,16,18,5,2,1,18,20,13,4,0,3,36,84,101.2,88.1,13.1,1.15,58.3,52.4,21.4,37.1,20.7,80,92.5,106.2,-13.7,0.87,49,45.5,18.8,30.3,27.8
"2014 / 2015","8",2014-12-05,"1930","20141205-1930_DANvsWCW","Dandenong","Home","West Coast",97,80,17,"Win",38,71,53.5,10,16,62.5,11,16,68.8,20,8,28,21,13,8,3,1,15,13,24,8,6,19,40,83,116.9,96.4,20.5,1.21,61.7,60.6,15.7,22.5,26.7,78,102.6,124.4,-21.8,0.82,58.2,57.8,28.2,15.6,37.5
