"season","round","date","time","gameIDs201415","teamName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","teamResult","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint","possess","offRtg","defRtg","pointsMarginRtg","offDefRatio","trueShootingRtg","eFGpct","turnoverRate","freeThrowRate","offReboundRate","oppPossess","oppOffRtg","oppDefRtg","oppPointsMarginRtg","oppOffDefRatio","oppTrueShootingRtg","oppeFGpct","oppTurnoverRate","oppFreeThrowRate","oppOffReboundRate"
"2014 / 2015","1",2014-10-17,"1930","20141017-1930_MELvsCAN","Melbourne","Home","Canberra",62,69,-7,"Loss",26,63,41.3,2,8,25,8,11,72.7,15,3,18,16,11,13,4,2,16,16,19,0,2,5,28,76,81.6,90.8,-9.2,0.9,45.4,42.9,14.5,17.5,8.1,74,93.2,83.8,9.40000000000001,1.11,54.6,51.8,31.1,22.8,44.4
"2014 / 2015","1",2014-10-17,"1930","20141017-1930_MELvsCAN","Canberra","Away","Melbourne",69,62,7,"Win",26,57,45.6,7,15,46.7,10,13,76.9,34,12,46,14,23,5,2,4,16,16,12,8,0,9,36,74,93.2,83.8,9.40000000000001,1.11,54.6,51.8,31.1,22.8,44.4,76,81.6,90.8,-9.2,0.9,45.4,42.9,14.5,17.5,8.1
"2014 / 2015","1",2014-10-18,"1500","20141018-1500_DANvsMEL","Dandenong","Home","Melbourne",73,51,22,"Win",33,75,44,3,16,18.8,4,6,66.7,30,13,43,13,11,4,3,0,15,9,17,17,0,8,34,76,96.1,67.1,29,1.43,46.9,46,14.5,8,31.7,75,68,97.3,-29.3,0.7,33.2,30.1,18.7,11,34.8
"2014 / 2015","1",2014-10-18,"1500","20141018-1500_DANvsMEL","Melbourne","Away","Dandenong",51,73,-22,"Loss",21,73,28.8,2,16,12.5,7,8,87.5,28,16,44,11,14,7,0,3,9,15,8,12,0,17,20,75,68,97.3,-29.3,0.7,33.2,30.1,18.7,11,34.8,76,96.1,67.1,29,1.43,46.9,46,14.5,8,31.7
"2014 / 2015","1",2014-10-18,"1830","20141018-1830_WCWvsADL","West Coast","Home","Adelaide",92,68,24,"Win",27,62,43.5,13,25,52,25,36,69.4,29,6,35,25,15,9,3,6,22,24,16,5,0,32,20,87,105.7,78.2,27.5,1.35,58.2,54,17.2,58.1,19.4,89,76.4,103.4,-27,0.74,43.9,36.8,20.2,29.4,17.1
"2014 / 2015","1",2014-10-18,"1830","20141018-1830_WCWvsADL","Adelaide","Away","West Coast",68,92,-24,"Loss",24,68,35.3,2,22,9.1,18,20,90,25,6,31,13,18,4,6,3,24,21,11,4,0,22,30,89,76.4,103.4,-27,0.74,43.9,36.8,20.2,29.4,17.1,87,105.7,78.2,27.5,1.35,58.2,54,17.2,58.1,19.4
"2014 / 2015","1",2014-10-18,"1900","20141018-1900_CANvsSYD","Canberra","Home","Sydney",70,73,-3,"Loss",30,66,45.5,5,19,26.3,5,8,62.5,28,10,38,14,20,3,5,6,19,14,6,11,4,30,32,80,87.5,91.2,-3.7,0.96,50.1,49.2,25,12.1,32.3,76,96.1,92.1,4,1.04,47.4,42.5,13.2,31.3,26.3
"2014 / 2015","1",2014-10-18,"1900","20141018-1900_CANvsSYD","Sydney","Away","Canberra",73,70,3,"Win",26,67,38.8,5,14,35.7,16,21,76.2,21,10,31,9,10,5,6,5,15,19,6,4,2,14,26,76,96.1,92.1,4,1.04,47.4,42.5,13.2,31.3,26.3,80,87.5,91.2,-3.7,0.96,50.1,49.2,25,12.1,32.3
"2014 / 2015","1",2014-10-18,"1900","20141018-1900_TSVvsBEN","Townsville","Home","Bendigo",70,67,3,"Win",26,67,38.8,4,16,25,14,20,70,26,8,34,16,14,1,8,2,15,19,11,8,0,29,32,82,85.4,81.7,3.7,1.05,45.8,41.8,17.1,29.9,23.5,76,88.2,92.1,-3.89999999999999,0.96,47,43.9,18.4,16.7,25.7
"2014 / 2015","1",2014-10-18,"1900","20141018-1900_TSVvsBEN","Bendigo","Away","Townsville",67,70,-3,"Loss",26,66,39.4,6,17,35.3,9,11,81.8,26,9,35,12,14,2,2,8,19,15,15,2,0,14,30,76,88.2,92.1,-3.89999999999999,0.96,47,43.9,18.4,16.7,25.7,82,85.4,81.7,3.7,1.05,45.8,41.8,17.1,29.9,23.5
"2014 / 2015","2",2014-10-23,"1700","20141023-1700_ADLvsDAN","Adelaide","Home","Dandenong",68,63,5,"Win",26,67,38.8,6,21,28.6,10,17,58.8,30,11,41,20,10,1,4,0,13,18,6,8,0,26,28,73,93.2,86.3,6.90000000000001,1.08,45.3,43.3,13.7,25.4,30.6,76,82.9,89.5,-6.59999999999999,0.93,38.5,37.2,7.9,10.3,28.6
"2014 / 2015","2",2014-10-23,"1700","20141023-1700_ADLvsDAN","Dandenong","Away","Adelaide",63,68,-5,"Loss",28,78,35.9,2,13,15.4,5,8,62.5,25,12,37,18,6,3,0,4,18,13,12,6,0,4,24,76,82.9,89.5,-6.59999999999999,0.93,38.5,37.2,7.9,10.3,28.6,73,93.2,86.3,6.90000000000001,1.08,45.3,43.3,13.7,25.4,30.6
"2014 / 2015","2",2014-10-25,"1500","20141025-1500_BENvsCAN","Bendigo","Home","Canberra",67,60,7,"Win",27,69,39.1,5,23,21.7,8,13,61.5,17,9,26,21,9,10,1,3,16,18,18,6,4,22,38,75,89.3,80,9.3,1.12,44.6,42.8,12,18.8,22,77,77.9,87,-9.09999999999999,0.9,42.8,38.3,32.5,20.3,51.4
"2014 / 2015","2",2014-10-25,"1500","20141025-1500_BENvsCAN","Canberra","Away","Bendigo",60,67,-7,"Loss",22,64,34.4,5,18,27.8,11,13,84.6,32,18,50,8,25,6,3,1,18,15,6,6,2,15,28,77,77.9,87,-9.09999999999999,0.9,42.8,38.3,32.5,20.3,51.4,75,89.3,80,9.3,1.12,44.6,42.8,12,18.8,22
"2014 / 2015","2",2014-10-25,"1830","20141025-1830_DANvsSYD","Dandenong","Home","Sydney",78,81,-3,"Loss",29,75,38.7,5,15,33.3,15,19,78.9,27,13,40,14,9,4,1,3,20,16,5,15,1,7,18,79,98.7,102.5,-3.8,0.96,46.4,42,11.4,25.3,32.5,80,101.2,97.5,3.7,1.04,46.2,41.7,12.5,45.8,38.6
